Printed on: 8/9/2021 7:17:48 AM
Date	Part number	Serial number	Status	Wave.	Fiber IL	Refl.	IL A	Refl.A	IL B	Refl.B
8/6/2021 3:33:40 PM	temptest	060821-0027	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:34:41 PM	temptest	060821-0028	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:34:41 PM	temptest	060821-0028	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:35:43 PM	temptest	060821-0029	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:35:43 PM	temptest	060821-0029	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:36:44 PM	temptest	060821-0030	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:36:44 PM	temptest	060821-0030	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:37:45 PM	temptest	060821-0031	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:37:45 PM	temptest	060821-0031	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:38:46 PM	temptest	060821-0032	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:38:46 PM	temptest	060821-0032	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:39:47 PM	temptest	060821-0033	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:39:47 PM	temptest	060821-0033	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:40:48 PM	temptest	060821-0034	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:40:48 PM	temptest	060821-0034	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:41:49 PM	temptest	060821-0035	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:41:49 PM	temptest	060821-0035	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:42:50 PM	temptest	060821-0036	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:42:50 PM	temptest	060821-0036	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:43:52 PM	temptest	060821-0037	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:43:52 PM	temptest	060821-0037	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:44:53 PM	temptest	060821-0038	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 3:44:53 PM	temptest	060821-0038	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:45:54 PM	temptest	060821-0039	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:45:54 PM	temptest	060821-0039	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:46:55 PM	temptest	060821-0040	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:46:55 PM	temptest	060821-0040	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:47:56 PM	temptest	060821-0041	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:47:56 PM	temptest	060821-0041	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:48:57 PM	temptest	060821-0042	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 3:48:57 PM	temptest	060821-0042	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:49:58 PM	temptest	060821-0043	Passed	1310nm 1	n/a	n/a	3.96	n/a	n/a	n/a
8/6/2021 3:49:58 PM	temptest	060821-0043	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:50:59 PM	temptest	060821-0044	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 3:50:59 PM	temptest	060821-0044	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:52:01 PM	temptest	060821-0045	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 3:52:01 PM	temptest	060821-0045	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:53:02 PM	temptest	060821-0046	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 3:53:02 PM	temptest	060821-0046	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:54:03 PM	temptest	060821-0047	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 3:54:03 PM	temptest	060821-0047	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:55:04 PM	temptest	060821-0048	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 3:55:04 PM	temptest	060821-0048	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:56:05 PM	temptest	060821-0049	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 3:56:05 PM	temptest	060821-0049	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:57:06 PM	temptest	060821-0050	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 3:57:06 PM	temptest	060821-0050	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:58:07 PM	temptest	060821-0051	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 3:58:07 PM	temptest	060821-0051	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 3:59:09 PM	temptest	060821-0052	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 3:59:09 PM	temptest	060821-0052	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 4:00:10 PM	temptest	060821-0053	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:00:10 PM	temptest	060821-0053	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 4:01:11 PM	temptest	060821-0054	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:01:11 PM	temptest	060821-0054	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 4:02:12 PM	temptest	060821-0055	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:02:12 PM	temptest	060821-0055	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 4:03:13 PM	temptest	060821-0056	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:03:13 PM	temptest	060821-0056	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 4:04:14 PM	temptest	060821-0057	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:04:14 PM	temptest	060821-0057	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 4:05:15 PM	temptest	060821-0058	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:05:15 PM	temptest	060821-0058	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 4:06:16 PM	temptest	060821-0059	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:06:16 PM	temptest	060821-0059	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 4:07:17 PM	temptest	060821-0060	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
8/6/2021 4:07:17 PM	temptest	060821-0060	Passed	1550nm 1	n/a	n/a	3.64	n/a	n/a	n/a
8/6/2021 4:08:19 PM	temptest	060821-0061	Passed	1310nm 1	n/a	n/a	3.97	n/a	n/a	n/a
